action,action_replica_0,action_replica_1,action_replica_2,action_replica_3,action_value,advantage_std,approx_kl,balance_penalty,buffer_progress,buffer_size,clipfrac,data_type,datetime,delta_latency,delta_throughput,entropy,explained_var,latency,log_probability,lr,mode,pg_grad_norm,pi_loss,queue_length,queue_size,replica_id,return_mean,reward,reward_max,reward_mean,reward_min,reward_std,rollout_length,selected_replica,step,throughput,timestamp,value_estimate,value_mean,vf_loss
0,,,,,0,,,0.0,,,,training,2025-09-17T20:07:14.852036,0.0,0.0,,,0.0,-1.3797225952148438,,delta,,,0,0,0,,0.0,,,,,,0,0,0.0,1758154034.8520231,0.24559170007705688,,
1,,,,,1,,,0.017241379310344827,,,,training,2025-09-17T20:07:14.862517,0.0,0.0,,,0.0,-1.4006984233856201,,delta,,,0,0,1,,0.0,,,,,,1,1,0.0,1758154034.862516,0.023613035678863525,,
2,,,,,2,,,0.017376077586206896,,,,training,2025-09-17T20:07:14.890790,0.0,0.0,,,0.0,-1.379646897315979,,delta,,,0,0,2,,0.0,,,,,,2,2,0.0,1758154034.89079,-0.1598418951034546,,
2,,,,,2,,,0.017376077586206896,,,,training,2025-09-17T20:07:14.968301,0.0,0.0,,,0.0,-1.3799467086791992,,delta,,,0,0,2,,0.0,,,,,,2,3,0.0,1758154034.968298,-0.2804427146911621,,
0,,,,,0,,,0.03542564655172414,,,,training,2025-09-17T20:07:15.419013,0.0,0.0,,,0.0,-1.383884310722351,,delta,,,0,0,0,,0.0,,,,,,0,4,0.0,1758154035.419011,-0.25338029861450195,,
2,,,,,2,,,0.036233836206896554,,,,training,2025-09-17T20:07:15.791568,0.0,0.0,,,0.0,-1.3802155256271362,,delta,,,0,0,2,,0.0,,,,,,2,5,0.0,1758154035.7915661,-0.4638022780418396,,
3,,,,,3,,,0.055765086206896554,,,,training,2025-09-17T20:07:16.678228,0.0,0.0,,,0.0,-1.3792939186096191,,delta,,,0,0,3,,0.0,,,,,,3,6,0.0,1758154036.6782248,-0.6298762559890747,,
2,,,,,2,,,0.03852370689655173,,,,training,2025-09-17T20:07:16.767289,0.0,0.0,,,0.0,-1.37812340259552,,delta,,,0,0,2,,0.0,,,,,,2,7,0.0,1758154036.7672782,-0.5152158737182617,,
0,,,,,0,,,0.05603448275862069,,,,training,2025-09-17T20:07:16.990950,0.0,0.0,,,0.0,-1.3842356204986572,,delta,,,0,0,0,,0.0,,,,,,0,8,0.0,1758154036.9909482,-0.25202202796936035,,
2,,,,,2,,,0.05603448275862069,,,,training,2025-09-17T20:07:17.004147,0.0,0.0,,,0.0,-1.374571442604065,,delta,,,0,0,2,,0.0,,,,,,2,9,0.0,1758154037.0041459,-0.18521074950695038,,
3,,,,,3,,,0.07327586206896552,,,,training,2025-09-17T20:07:17.079964,0.0,0.0,,,0.0,-1.3815886974334717,,delta,,,0,0,3,,0.0,,,,,,3,10,0.0,1758154037.079963,-0.0319218635559082,,
2,,,,,2,,,0.07192887931034483,,,,training,2025-09-17T20:07:17.339569,0.0,0.0,,,0.0,-1.374733328819275,,delta,,,0,0,2,,0.0,,,,,,2,11,0.0,1758154037.3395672,-0.048342861235141754,,
0,,,,,0,,,0.08917025862068965,,,,training,2025-09-17T20:07:17.354912,0.0,0.0,,,0.0,-1.384698748588562,,delta,,,0,0,0,,0.0,,,,,,0,12,0.0,1758154037.35491,0.08707906305789948,,
3,,,,,3,,,0.08917025862068965,,,,training,2025-09-17T20:07:17.419002,0.0,0.0,,,0.0,-1.3819756507873535,,delta,,,0,0,3,,0.0,,,,,,3,13,0.0,1758154037.4190001,0.09073179960250854,,
2,,,,,2,,,0.09051724137931035,,,,training,2025-09-17T20:07:17.833148,0.0,0.0,,,0.0,-1.3744537830352783,,delta,,,0,0,2,,0.0,,,,,,2,14,0.0,1758154037.8331451,-0.08486084640026093,,
1,,,,,1,,,0.1085668103448276,,,,training,2025-09-17T20:07:18.125356,0.0,0.0,,,0.0,-1.4039902687072754,,delta,,,0,0,1,,0.0,,,,,,1,15,0.0,1758154038.12535,-0.07722438871860504,,
0,,,,,0,,,0.09186422413793102,,,,training,2025-09-17T20:07:18.201177,0.0,0.0,,,0.0,-1.3845571279525757,,delta,,,0,0,0,,0.0,,,,,,0,16,0.0,1758154038.201175,0.07504704594612122,,
1,,,,,1,,,0.09253771551724138,,,,training,2025-09-17T20:07:18.516669,0.0,0.0,,,0.0,-1.4048603773117065,,delta,,,0,0,1,,0.0,,,,,,1,17,0.0,1758154038.516667,0.043670907616615295,,
3,,,,,3,,,0.09873383620689656,,,,training,2025-09-17T20:07:19.053983,5.673661601530579,0.15610956639454018,,,5.673661601530579,-1.379923939704895,,delta,,,0,0,3,,-1.0,,,,,,3,18,0.15610956639454018,1758154039.0539808,-0.23051577806472778,,
1,,,,,1,,,0.09873383620689656,,,,training,2025-09-17T20:07:19.057103,0.0,-7.940604723025158e-05,,,5.673661601530579,-1.4041939973831177,,delta,,,0,0,1,,-7.940604723025158e-05,,,,,,1,19,0.15603016034730993,1758154039.0571032,-0.46940112113952637,,
1,,,,,1,,,0.0828394396551724,,,,training,2025-09-17T20:07:19.270569,0.4789417626682688,0.12065240598487098,,,6.152603364198848,-1.4023562669754028,,delta,,,0,0,1,,-0.5977602380175322,,,,,,1,20,0.2766825663321809,1758154039.270567,-0.4722490906715393,,
2,,,,,2,,,0.06627155172413794,,,,training,2025-09-17T20:07:19.418380,0.0,-0.02116972411927953,,,6.152603364198848,-1.3812490701675415,,delta,,,0,0,2,,-0.02116972411927953,,,,,,2,21,0.2555128422129014,1758154039.4183779,-0.3944793939590454,,
2,,,,,2,,,0.0832435344827586,,,,training,2025-09-17T20:07:19.469848,0.0,-0.0066124457122460345,,,6.152603364198848,-1.3823071718215942,,delta,,,0,0,2,,-0.0066124457122460345,,,,,,2,22,0.24890039650065535,1758154039.469847,-0.2898944616317749,,
2,,,,,2,,,0.10048491379310345,,,,training,2025-09-17T20:07:19.492166,0.0,-0.0025899999493690096,,,6.152603364198848,-1.382820963859558,,delta,,,0,0,2,,-0.0025899999493690096,,,,,,2,23,0.24631039655128634,1758154039.492165,-0.1856098175048828,,
1,,,,,1,,,0.09226831896551724,,,,training,2025-09-17T20:07:19.936163,1.0092394845787478,0.2734489894660433,,,7.161842848777596,-1.4000747203826904,,delta,,,0,0,1,,-1.0,,,,,,1,24,0.5197593860173296,1758154039.936161,-0.2716031074523926,,
3,,,,,3,,,0.09280711206896552,,,,training,2025-09-17T20:07:19.998262,0.0,-0.010854588344532456,,,7.161842848777596,-1.3835053443908691,,delta,,,0,0,3,,-0.010854588344532456,,,,,,3,25,0.5089047976727972,1758154039.998261,-0.22561001777648926,,
1,,,,,1,,,0.0929418103448276,,,,training,2025-09-17T20:07:20.018045,0.0,-0.0025083362880857774,,,7.161842848777596,-1.401896357536316,,delta,,,0,0,1,,-0.0025083362880857774,,,,,,1,26,0.5063964613847114,1758154040.0180428,-0.2870171070098877,,
3,,,,,3,,,0.09321120689655171,,,,training,2025-09-17T20:07:20.036342,-0.07338977380749512,0.09816519625826148,,,7.088453074970101,-1.3825942277908325,,delta,,,0,0,3,,0.20824985696950415,,,,,,3,27,0.6045616576429729,1758154040.03634,-0.08524072170257568,,
1,,,,,1,,,0.11691810344827586,,,,training,2025-09-17T20:07:20.292418,0.08997564142377623,0.31583990712692345,,,7.178428716393877,-1.4015170335769653,,delta,,,0,0,1,,0.1808764449912591,,,,,,1,28,0.9204015647698963,1758154040.292416,0.0115966796875,,
0,,,,,0,,,0.11826508620689656,,,,training,2025-09-17T20:07:20.417336,-0.025448139459144592,0.05067383887295329,,,7.152980576934732,-1.3817039728164673,,delta,,,0,0,0,,0.08884604806167018,,,,,,0,29,0.9710754036428496,1758154040.417334,0.15139251947402954,,
0,,,,,0,,,0.12486530172413791,,,,training,2025-09-17T20:07:20.641914,-0.05444715292530855,0.01653725023221342,,,7.098533424009424,-1.3815269470214844,,delta,,,0,0,0,,0.09820797962017624,,,,,,0,30,0.987612653875063,1758154040.641912,0.10510653257369995,,
,,,,,,,0.0015258463099598885,,,32,0.0,ppo_update,2025-09-17T20:07:20.939526,,,1.385390728712082,0.164392352104187,,,0.0003,,1.7612151889903642,-0.005318830721080303,,,,,,,,,,32,,31,,1758154040.9395251,,,0.30232544243335724
,8,8,10,6,,1.0,,,1.0,,,rollout,2025-09-17T20:07:20.939589,,,,,,,,,,,,,,-0.7487671375274658,,0.20824985206127167,-0.07299812883138657,-1.0,0.2712378203868866,,,31,,1758154040.939588,,-0.15836751461029053,
0,,,,,0,,,0.0824353448275862,,,,training,2025-09-17T20:07:20.940390,0.30291963038124514,0.1838337778969653,,,7.401453054390669,-1.3828181028366089,,delta,,,0,0,0,,-0.2705456676749024,,,,,,0,31,1.1714464317720283,1758154040.9403892,-0.007826745510101318,,
3,,,,,3,,,0.04445043103448276,,,,training,2025-09-17T20:07:21.056762,0.10287454234987337,0.11751977169638406,,,7.504327596740542,-1.311586618423462,,delta,,,0,0,3,,-0.03679204182842599,,,,,,3,32,1.2889662034684124,1758154041.05676,-0.22123993933200836,,
2,,,,,2,,,0.02384159482758621,,,,training,2025-09-17T20:07:21.660845,0.03758992227431435,0.07260947425474229,,,7.541917519014857,-1.3608858585357666,,delta,,,0,0,2,,0.01622459084327077,,,,,,2,33,1.3615756777231547,1758154041.660842,-0.4216243028640747,,
1,,,,,1,,,0.02276400862068966,,,,training,2025-09-17T20:07:21.797572,0.00175790797867581,0.04529912160260796,,,7.543675426993532,-1.3429317474365234,,delta,,,0,0,1,,0.042662259634594246,,,,,,1,34,1.4068747993257626,1758154041.79757,-0.7718379497528076,,
1,,,,,1,,,0.022898706896551727,,,,training,2025-09-17T20:07:22.055411,0.0,-0.03685340173790741,,,7.543675426993532,-1.3405050039291382,,delta,,,0,0,1,,-0.03685340173790741,,,,,,1,35,1.3700213975878552,1758154042.055409,-0.9471443295478821,,
2,,,,,2,,,0.07933728448275862,,,,training,2025-09-17T20:07:22.345634,0.04922152242114741,0.11032165997281629,,,7.59289694941468,-1.3591430187225342,,delta,,,0,0,2,,0.03648937634109517,,,,,,2,36,1.4803430575606715,1758154042.345632,-1.0025100708007812,,
1,,,,,1,,,0.07933728448275862,,,,training,2025-09-17T20:07:22.511411,-0.08759879302955564,0.07707415212412783,,,7.505298156385124,-1.3461884260177612,,delta,,,0,0,1,,0.2084723416684613,,,,,,1,37,1.5574172096847994,1758154042.511408,-1.1132766008377075,,
0,,,,,0,,,0.05563038793103449,,,,training,2025-09-17T20:07:22.854601,-0.021620480087229943,0.08252997570077314,,,7.483677676297894,-1.5224837064743042,,delta,,,0,0,0,,0.11496069583161805,,,,,,0,38,1.6399471853855725,1758154042.854599,-1.2757983207702637,,
1,,,,,1,,,0.056573275862068964,,,,training,2025-09-17T20:07:23.182156,0.0,-0.03898477775121689,,,7.483677676297894,-1.3481688499450684,,delta,,,0,0,1,,-0.03898477775121689,,,,,,1,39,1.6009624076343556,1758154043.182155,-1.456324815750122,,
2,,,,,2,,,0.05307112068965518,,,,training,2025-09-17T20:07:23.388427,-0.02911551927426803,0.054687151531806144,,,7.454562157023626,-1.3564517498016357,,delta,,,0,0,2,,0.09836043044320819,,,,,,2,40,1.6556495591661617,1758154043.3884249,-1.4949777126312256,,
2,,,,,2,,,0.05334051724137931,,,,training,2025-09-17T20:07:23.401398,0.0,-0.0020713054148573384,,,7.454562157023626,-1.3570722341537476,,delta,,,0,0,2,,-0.0020713054148573384,,,,,,2,41,1.6535782537513044,1758154043.401397,-1.366814374923706,,
2,,,,,2,,,0.05334051724137931,,,,training,2025-09-17T20:07:23.439804,0.0,-0.011328339948592392,,,7.454562157023626,-1.358552098274231,,delta,,,0,0,2,,-0.011328339948592392,,,,,,2,42,1.642249913802712,1758154043.4398022,-1.3181953430175781,,
2,,,,,2,,,0.07529633620689655,,,,training,2025-09-17T20:07:23.483844,-0.08826564871847253,0.09027395324220255,,,7.366296508305154,-1.3611334562301636,,delta,,,0,0,2,,0.22267242631991135,,,,,,2,43,1.7325238670449146,1758154043.4838421,-1.3331599235534668,,
2,,,,,2,,,0.09119073275862069,,,,training,2025-09-17T20:07:23.498254,0.0,-0.003773624138314613,,,7.366296508305154,-1.363876223564148,,delta,,,0,0,2,,-0.003773624138314613,,,,,,2,44,1.7287502429066,1758154043.498253,-1.2369039058685303,,
0,,,,,0,,,0.09146012931034483,,,,training,2025-09-17T20:07:23.533522,0.0,-0.011916689593086893,,,7.366296508305154,-1.517858624458313,,delta,,,0,0,0,,-0.011916689593086893,,,,,,0,45,1.716833553313513,1758154043.533521,-0.8903485536575317,,
3,,,,,3,,,0.10870150862068965,,,,training,2025-09-17T20:07:23.543671,0.0,-0.0047419192804663,,,7.366296508305154,-1.3307815790176392,,delta,,,0,0,3,,-0.0047419192804663,,,,,,3,46,1.7120916340330468,1758154043.54367,-0.7607938647270203,,
0,,,,,0,,,0.10870150862068965,,,,training,2025-09-17T20:07:23.576800,0.0,-0.01434384033176861,,,7.366296508305154,-1.5192962884902954,,delta,,,0,0,0,,-0.01434384033176861,,,,,,0,47,1.6977477937012782,1758154043.576798,-0.7470727562904358,,
2,,,,,2,,,0.11004849137931035,,,,training,2025-09-17T20:07:23.781381,0.0,-0.04298069881296973,,,7.366296508305154,-1.3596737384796143,,delta,,,0,0,2,,-0.04298069881296973,,,,,,2,48,1.6547670948883084,1758154043.781379,-0.9146116375923157,,
0,,,,,0,,,0.12742456896551724,,,,training,2025-09-17T20:07:23.857735,0.0,-0.018618443799392814,,,7.366296508305154,-1.5181758403778076,,delta,,,0,0,0,,-0.018618443799392814,,,,,,0,49,1.6361486510889156,1758154043.857733,-1.1367688179016113,,
3,,,,,3,,,0.1280980603448276,,,,training,2025-09-17T20:07:23.927289,0.0,-0.018539485900290087,,,7.366296508305154,-1.323765516281128,,delta,,,0,0,3,,-0.018539485900290087,,,,,,3,50,1.6176091651886255,1758154043.927287,-1.4528286457061768,,
2,,,,,2,,,0.11139547413793102,,,,training,2025-09-17T20:07:23.965403,0.0,-0.009267399645556562,,,7.366296508305154,-1.3451305627822876,,delta,,,0,0,2,,-0.009267399645556562,,,,,,2,51,1.608341765543069,1758154043.9654012,-1.54395592212677,,
3,,,,,3,,,0.12890625,,,,training,2025-09-17T20:07:24.008332,0.0,-0.01208121798885009,,,7.366296508305154,-1.3211256265640259,,delta,,,0,0,3,,-0.01208121798885009,,,,,,3,52,1.5962605475542189,1758154044.0083299,-1.5517902374267578,,
0,,,,,0,,,0.11489762931034483,,,,training,2025-09-17T20:07:24.414108,0.0,-0.09985825235669377,,,7.366296508305154,-1.5201551914215088,,delta,,,0,0,0,,-0.09985825235669377,,,,,,0,53,1.496402295197525,1758154044.4141068,-1.5769513845443726,,
1,,,,,1,,,0.11031788793103449,,,,training,2025-09-17T20:07:24.576288,0.0018453750839384497,0.09828170045280937,,,7.368141883389092,-1.3717632293701172,,delta,,,0,0,1,,0.0955136378269017,,,,,,1,54,1.5946839956503345,1758154044.576287,-1.761752724647522,,
0,,,,,0,,,0.09536637931034482,,,,training,2025-09-17T20:07:24.718377,0.0,-0.03250246176087135,,,7.368141883389092,-1.517577052116394,,delta,,,0,0,0,,-0.03250246176087135,,,,,,0,55,1.5621815338894631,1758154044.718376,-1.7546592950820923,,
3,,,,,3,,,0.09550107758620689,,,,training,2025-09-17T20:07:24.750184,0.0,-0.0063362921196510325,,,7.368141883389092,-1.323704719543457,,delta,,,0,0,3,,-0.0063362921196510325,,,,,,3,56,1.555845241769812,1758154044.750182,-1.737436056137085,,
1,,,,,1,,,0.1171875,,,,training,2025-09-17T20:07:24.937355,-0.011668162662284765,-0.0006745322667478515,,,7.356473720726807,-1.3782367706298828,,delta,,,0,0,1,,0.016827711726679295,,,,,,1,57,1.5551707095030642,1758154044.937354,-1.8181231021881104,,
2,,,,,2,,,0.10021551724137931,,,,training,2025-09-17T20:07:24.962370,0.0,-0.005809297719169493,,,7.356473720726807,-1.340075969696045,,delta,,,0,0,2,,-0.005809297719169493,,,,,,2,58,1.5493614117838947,1758154044.962369,-1.7594518661499023,,
2,,,,,2,,,0.11772629310344827,,,,training,2025-09-17T20:07:25.021597,0.0,-0.015325638986117385,,,7.356473720726807,-1.33810555934906,,delta,,,0,0,2,,-0.015325638986117385,,,,,,2,59,1.5340357727977774,1758154045.021593,-1.7901132106781006,,
1,,,,,1,,,0.13833512931034483,,,,training,2025-09-17T20:07:25.480977,0.0071689708092694815,0.027281932422377198,,,7.363642691536077,-1.3809313774108887,,delta,,,0,0,1,,0.016528476208472975,,,,,,1,60,1.5613177052201546,1758154045.4809752,-1.8723431825637817,,
2,,,,,2,,,0.12257543103448276,,,,training,2025-09-17T20:07:25.693920,-0.02042981006018163,0.0077473324879751004,,,7.343212881475895,-1.3416171073913574,,delta,,,0,0,2,,0.038392047578247546,,,,,,2,61,1.5690650377081297,1758154045.693918,-1.8371405601501465,,
2,,,,,2,,,0.1402209051724138,,,,training,2025-09-17T20:07:25.878562,-0.0011427356564350788,0.013616106907914594,,,7.34207014581946,-1.341489553451538,,delta,,,0,0,2,,0.015330210392567212,,,,,,2,62,1.5826811446160443,1758154045.878557,-1.8143689632415771,,
,,,,,,,0.0,,,32,0.0,ppo_update,2025-09-17T20:07:26.223558,,,1.3814783096313477,0.46243099868297577,,,0.0003,,3.5317023516228487,-0.008895414415746927,,,,,,,,,,32,,63,,1758154046.223556,,,0.1498917881399393
,6,7,13,6,,1.0,,,1.0,,,rollout,2025-09-17T20:07:26.223574,,,,,,,,,,,,,,-0.8189327716827393,,0.22267243266105652,0.0189678855240345,-0.09985825419425964,0.06652253121137619,,,63,,1758154046.223573,,-1.3235161304473877,
3,,,,,3,,,0.17564655172413793,,,,training,2025-09-17T20:07:26.224077,-0.019858639404631617,0.04008322372838169,,,7.3222115064148285,-1.3251761198043823,,delta,,,0,0,3,,0.06987118283532912,,,,,,3,63,1.622764368344426,1758154046.224076,-1.6721969842910767,,
0,,,,,0,,,0.18345905172413796,,,,training,2025-09-17T20:07:26.534462,-0.02116321955257927,0.0177778830745976,,,7.301048286862249,-1.6452946662902832,,delta,,,0,0,0,,0.04952271240346651,,,,,,0,64,1.6405422514190235,1758154046.5344598,-0.5848234295845032,,
3,,,,,3,,,0.14304956896551724,,,,training,2025-09-17T20:07:26.770557,0.11285863596503543,0.02684440847303371,,,7.413906922827285,-1.3536368608474731,,delta,,,0,0,3,,-0.14244354547451943,,,,,,3,65,1.6673866598920573,1758154046.770554,0.17564652860164642,,
1,,,,,1,,,0.12082435344827586,,,,training,2025-09-17T20:07:26.808557,0.029062713870235513,0.06166245520337732,,,7.44296963669752,-1.2972495555877686,,delta,,,0,0,1,,0.01806838439802405,,,,,,1,66,1.7290491150954346,1758154046.808557,0.49683815240859985,,
0,,,,,0,,,0.0829741379310345,,,,training,2025-09-17T20:07:26.815672,0.04759833829602389,0.03358662199336737,,,7.490567974993544,-1.6643766164779663,,delta,,,0,0,0,,-0.03781088545066846,,,,,,0,67,1.762635737088802,1758154046.8156722,0.982098400592804,,
1,,,,,1,,,0.06263469827586207,,,,training,2025-09-17T20:07:26.865832,0.03620561678201639,0.05720416954836405,,,7.5267735917755605,-1.2934675216674805,,delta,,,0,0,1,,0.0028957443753394596,,,,,,1,68,1.819839906637166,1758154046.865831,1.44644033908844,,
3,,,,,3,,,0.0629040948275862,,,,training,2025-09-17T20:07:26.914371,0.0,-0.009684332794844819,,,7.5267735917755605,-1.3351974487304688,,delta,,,0,0,3,,-0.009684332794844819,,,,,,3,69,1.8101555738423212,1758154046.914369,1.8143503665924072,,
2,,,,,2,,,0.04135237068965517,,,,training,2025-09-17T20:07:26.950715,0.034891557555742025,0.026720638174324574,,,7.5616651493313025,-1.3151382207870483,,delta,,,0,0,2,,-0.025616698159288465,,,,,,2,70,1.8368762120166457,1758154046.950714,1.9460469484329224,,
1,,,,,1,,,0.060479525862068964,,,,training,2025-09-17T20:07:27.430336,-0.01519437937166046,0.04445123590242961,,,7.546470769959642,-1.2833538055419922,,delta,,,0,0,1,,0.0672428049599203,,,,,,1,71,1.8813274479190754,1758154047.4303339,2.221238136291504,,
1,,,,,1,,,0.06209590517241379,,,,training,2025-09-17T20:07:27.799071,0.0,-0.06169203290806835,,,7.546470769959642,-1.2887593507766724,,delta,,,0,0,1,,-0.06169203290806835,,,,,,1,72,1.819635415011007,1758154047.79907,2.1517062187194824,,
0,,,,,0,,,0.0625,,,,training,2025-09-17T20:07:27.854298,0.0,-0.010722160368224154,,,7.546470769959642,-1.651590347290039,,delta,,,0,0,0,,-0.010722160368224154,,,,,,0,73,1.8089132546427829,1758154047.854296,2.125612258911133,,
3,,,,,3,,,0.017106681034482756,,,,training,2025-09-17T20:07:28.023007,0.019052032651469375,0.06247099986498461,,,7.565522802611111,-1.3257043361663818,,delta,,,0,0,3,,0.03389295088778055,,,,,,3,74,1.8713842545077675,1758154048.023005,2.019597291946411,,
1,,,,,1,,,0.019665948275862072,,,,training,2025-09-17T20:07:28.104293,0.0,-0.014344511643247682,,,7.565522802611111,-1.2867133617401123,,delta,,,0,0,1,,-0.014344511643247682,,,,,,1,75,1.8570397428645198,1758154048.104291,1.9298027753829956,,
3,,,,,3,,,0.07583512931034482,,,,training,2025-09-17T20:07:28.532409,-0.015491282734484635,0.021011604644553206,,,7.550031519876627,-1.330068588256836,,delta,,,0,0,3,,0.04424852874628016,,,,,,3,76,1.878051347509073,1758154048.532408,1.7850381135940552,,
1,,,,,1,,,0.07677801724137931,,,,training,2025-09-17T20:07:28.636944,-0.02018198669550486,0.012312955683191129,,,7.529849533181122,-1.2859385013580322,,delta,,,0,0,1,,0.04258593572644842,,,,,,1,77,1.8903643031922641,1758154048.636943,1.6306034326553345,,
2,,,,,2,,,0.09388469827586207,,,,training,2025-09-17T20:07:28.688721,0.0,-0.008421062217105701,,,7.529849533181122,-1.3227612972259521,,delta,,,0,0,2,,-0.008421062217105701,,,,,,2,78,1.8819432409751584,1758154048.68872,1.7637344598770142,,
0,,,,,0,,,0.07704741379310345,,,,training,2025-09-17T20:07:28.741493,0.0,-0.007683855775095116,,,7.529849533181122,-1.6523854732513428,,delta,,,0,0,0,,-0.007683855775095116,,,,,,0,79,1.8742593852000633,1758154048.7414908,1.9337420463562012,,
3,,,,,3,,,0.07799030172413793,,,,training,2025-09-17T20:07:28.879698,0.0,-0.02200714176034646,,,7.529849533181122,-1.3268144130706787,,delta,,,0,0,3,,-0.02200714176034646,,,,,,3,80,1.8522522434397168,1758154048.879696,2.013715982437134,,
1,,,,,1,,,0.08001077586206896,,,,training,2025-09-17T20:07:28.930721,-0.020030168529410197,0.020363308206999386,,,7.509819364651712,-1.2763748168945312,,delta,,,0,0,1,,0.05040856100111468,,,,,,1,81,1.8726155516467162,1758154048.93072,2.0258617401123047,,
2,,,,,2,,,0.09792564655172414,,,,training,2025-09-17T20:07:29.081123,-0.009777525808261522,0.004973444049950704,,,7.50004183884345,-1.335663914680481,,delta,,,0,0,2,,0.019639732762342987,,,,,,2,82,1.877588995696667,1758154049.0811222,2.2156500816345215,,
2,,,,,2,,,0.05953663793103448,,,,training,2025-09-17T20:07:29.465665,-0.016303059000608577,0.05047076951900453,,,7.483738779842842,-1.3316584825515747,,delta,,,0,0,2,,0.0749253580199174,,,,,,2,83,1.9280597652156715,1758154049.465664,2.214618682861328,,
1,,,,,1,,,0.05724676724137931,,,,training,2025-09-17T20:07:29.551756,0.0,-0.013254991402910088,,,7.483738779842842,-1.2810347080230713,,delta,,,0,0,1,,-0.013254991402910088,,,,,,1,84,1.9148047738127614,1758154049.551755,2.198323965072632,,
0,,,,,0,,,0.07448814655172414,,,,training,2025-09-17T20:07:29.593778,0.0,-0.006371590034473629,,,7.483738779842842,-1.650394320487976,,delta,,,0,0,0,,-0.006371590034473629,,,,,,0,85,1.9084331837782877,1758154049.593775,2.2222113609313965,,
0,,,,,0,,,0.05994073275862069,,,,training,2025-09-17T20:07:30.135418,-0.012701180975328796,-0.022288794984511417,,,7.471037598867513,-1.6487780809402466,,delta,,,0,0,0,,-0.003237023521518223,,,,,,0,86,1.8861443887937763,1758154050.135416,2.1114249229431152,,
1,,,,,1,,,0.04350754310344828,,,,training,2025-09-17T20:07:30.255354,0.0,-0.01720015420824783,,,7.471037598867513,-1.2844312191009521,,delta,,,0,0,1,,-0.01720015420824783,,,,,,1,87,1.8689442345855285,1758154050.255352,1.942745327949524,,
1,,,,,1,,,0.06061422413793103,,,,training,2025-09-17T20:07:30.274214,0.0,-0.002277462230459104,,,7.471037598867513,-1.2837300300598145,,delta,,,0,0,1,,-0.002277462230459104,,,,,,1,88,1.8666667723550694,1758154050.274213,1.9125417470932007,,
3,,,,,3,,,0.06061422413793103,,,,training,2025-09-17T20:07:30.285887,0.0,-0.00115112538229023,,,7.471037598867513,-1.3272911310195923,,delta,,,0,0,3,,-0.00115112538229023,,,,,,3,89,1.8655156469727792,1758154050.285886,1.5228732824325562,,
0,,,,,0,,,0.06047952586206896,,,,training,2025-09-17T20:07:30.305147,0.0,-0.0027642764644362217,,,7.471037598867513,-1.6680424213409424,,delta,,,0,0,0,,-0.0027642764644362217,,,,,,0,90,1.862751370508343,1758154050.3051462,0.9841643571853638,,
1,,,,,1,,,0.07664331896551724,,,,training,2025-09-17T20:07:30.458545,-0.00949210064187156,0.0020256625770669334,,,7.461545498225641,-1.2822530269622803,,delta,,,0,0,1,,0.016263813539874272,,,,,,1,91,1.8647770330854099,1758154050.458544,0.6642507910728455,,
2,,,,,2,,,0.07314116379310344,,,,training,2025-09-17T20:07:30.730020,0.009949797236654234,-0.011475846407704937,,,7.4714952954622955,-1.3073941469192505,,delta,,,0,0,2,,-0.02640054226268629,,,,,,2,92,1.853301186677705,1758154050.7300181,1.060157299041748,,
3,,,,,3,,,0.09523168103448276,,,,training,2025-09-17T20:07:30.822572,-0.01198002311637314,0.012070201609335252,,,7.459515272345922,-1.3292820453643799,,delta,,,0,0,3,,0.03004023628389496,,,,,,3,93,1.8653713882870402,1758154050.822571,1.5134620666503906,,
3,,,,,3,,,0.07799030172413794,,,,training,2025-09-17T20:07:30.838152,0.0,-0.0015013263617678074,,,7.459515272345922,-1.330457091331482,,delta,,,0,0,3,,-0.0015013263617678074,,,,,,3,94,1.8638700619252724,1758154050.838151,1.675643801689148,,
,,,,,,,2.1690502762794495e-06,,,32,0.0,ppo_update,2025-09-17T20:07:30.964772,,,1.3732910454273224,-0.8345239460468292,,,0.0003,,1.7619362753627221,0.002565065398812294,,,,,,,,,,32,,95,,1758154050.96477,,,0.23172151669859886
,7,12,5,8,,0.9999999403953552,,,1.0,,,rollout,2025-09-17T20:07:30.966242,,,,,,,,,,,,,,1.1010990142822266,,0.07492535561323166,0.00061810202896595,-0.14244355261325836,0.03916512802243233,,,95,,1758154050.9662411,,1.6183397769927979,
1,,,,,1,,,0.07718211206896552,,,,training,2025-09-17T20:07:30.966652,-0.01379473705290657,0.013459834213630506,,,7.445720535293016,-1.2789417505264282,,delta,,,0,0,1,,0.03415193979299036,,,,,,1,95,1.8773298961389029,1758154050.966652,1.6715553998947144,,
